Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,Year,Quarter_single,HBName
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,211,575,2.725118483,NA,224,794,3.544642857,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,152,450,2.960526316,NA,179,831,4.642458101,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,222,656,2.954954955,NA,232,931,4.012931034,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,180,662,3.677777778,NA,192,841,4.380208333,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,224,724,3.232142857,NA,238,899,3.777310924,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,288,927,3.21875,NA,307,1272,4.143322476,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,1,NA,264,777,2.943181818,NA,290,1060,3.655172414,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,342,1116,3.263157895,NA,355,1465,4.126760563,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,303,931,3.072607261,NA,319,1087,3.407523511,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,349,1052,3.014326648,NA,370,1411,3.813513514,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,347,924,2.662824207,NA,372,1127,3.029569892,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,337,1302,3.863501484,NA,352,1772,5.034090909,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,402,927,2.305970149,NA,421,1258,2.988123515,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,354,873,2.466101695,NA,368,1188,3.22826087,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,339,879,2.592920354,NA,362,1086,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,326,920,2.82208589,NA,342,1169,3.418128655,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,267,692,2.5917603,NA,283,1195,4.222614841,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,70,267,3.814285714,NA,69,281,4.072463768,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,188,708,3.765957447,NA,200,949,4.745,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,173,551,3.184971098,NA,182,653,3.587912088,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,83,352,4.240963855,NA,86,486,5.651162791,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,188,551,2.930851064,NA,202,746,3.693069307,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,132,417,3.159090909,NA,141,633,4.489361702,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,165,526,3.187878788,NA,171,743,4.34502924,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,130,453,3.484615385,NA,141,644,4.567375887,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,192,490,2.552083333,NA,199,914,4.592964824,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,213,461,2.164319249,NA,229,726,3.170305677,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,2,NA,223,651,2.919282511,NA,232,813,3.504310345,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,261,675,2.586206897,NA,278,906,3.258992806,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,242,805,3.326446281,NA,258,1105,4.282945736,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,238,527,2.214285714,NA,246,651,2.646341463,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,247,648,2.623481781,NA,260,865,3.326923077,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,302,729,2.413907285,NA,319,956,2.996865204,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,290,545,1.879310345,NA,294,706,2.401360544,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,297,749,2.521885522,NA,309,1067,3.453074434,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,259,766,2.957528958,NA,269,863,3.208178439,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,241,664,2.755186722,NA,253,901,3.561264822,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,247,740,2.995951417,NA,254,1032,4.062992126,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,68,157,2.308823529,NA,69,185,2.68115942,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,145,522,3.6,NA,147,533,3.62585034,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,117,238,2.034188034,NA,126,552,4.380952381,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,58,131,2.25862069,NA,59,179,3.033898305,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,156,379,2.429487179,NA,170,523,3.076470588,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,121,527,4.355371901,NA,128,501,3.9140625,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,123,355,2.886178862,NA,127,525,4.133858268,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,103,285,2.766990291,NA,104,342,3.288461538,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,144,374,2.597222222,NA,150,516,3.44,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,182,525,2.884615385,NA,198,636,3.212121212,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,3,NA,194,620,3.195876289,NA,215,859,3.995348837,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,223,516,2.313901345,NA,238,717,3.012605042,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,182,471,2.587912088,NA,191,607,3.178010471,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,207,559,2.700483092,NA,212,743,3.504716981,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,210,521,2.480952381,NA,222,825,3.716216216,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,218,613,2.811926606,NA,226,783,3.46460177,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,247,583,2.360323887,NA,247,657,2.659919028,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,231,633,2.74025974,NA,249,918,3.686746988,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,231,632,2.735930736,NA,238,805,3.382352941,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,202,486,2.405940594,NA,208,577,2.774038462,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,191,526,2.753926702,NA,192,620,3.229166667,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,37,94,2.540540541,NA,38,218,5.736842105,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,84,214,2.547619048,NA,86,260,3.023255814,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,102,230,2.254901961,NA,108,428,3.962962963,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,46,106,2.304347826,NA,51,158,3.098039216,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,125,256,2.048,NA,132,428,3.242424242,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,96,252,2.625,NA,108,473,4.37962963,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,106,430,4.056603774,NA,110,510,4.636363636,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,92,327,3.554347826,NA,96,375,3.90625,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,145,499,3.44137931,NA,149,555,3.724832215,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,140,403,2.878571429,NA,149,502,3.369127517,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,162,420,2.592592593,NA,178,595,3.342696629,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,159,535,3.364779874,NA,170,690,4.058823529,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,155,377,2.432258065,NA,166,556,3.34939759,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,149,450,3.020134228,NA,159,787,4.949685535,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,159,442,2.779874214,NA,166,569,3.427710843,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,164,391,2.384146341,NA,176,1213,6.892045455,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,205,518,2.526829268,NA,214,684,3.196261682,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,199,566,2.844221106,NA,201,737,3.666666667,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,142,374,2.633802817,NA,148,452,3.054054054,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,169,534,3.159763314,NA,175,693,3.96,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,151,362,2.397350993,NA,158,495,3.132911392,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,42,91,2.166666667,NA,46,128,2.782608696,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,90,177,1.966666667,NA,91,201,2.208791209,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,89,187,2.101123596,NA,96,304,3.166666667,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,32,116,3.625,NA,32,139,4.34375,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,97,341,3.515463918,NA,103,393,3.815533981,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,70,170,2.428571429,NA,79,333,4.215189873,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,96,285,2.96875,NA,103,502,4.873786408,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,72,210,2.916666667,NA,73,258,3.534246575,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,90,222,2.466666667,NA,93,279,3,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,118,297,2.516949153,NA,124,443,3.572580645,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,99,286,2.888888889,NA,107,347,3.242990654,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,26,39,1.5,NA,25,111,4.44,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,11,14,1.272727273,NA,10,19,1.9,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,25,30,1.2,NA,23,35,1.52173913,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,18,21,1.166666667,NA,19,59,3.105263158,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,12,34,2.833333333,NA,12,57,4.75,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,17,14,0.823529412,NA,20,37,1.85,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,26,53,2.038461538,NA,25,77,3.08,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,22,36,1.636363636,NA,25,84,3.36,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,15,24,1.6,NA,15,24,1.6,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,12,10,0.833333333,NA,13,34,2.615384615,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,5,1,NA,5,5,1,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,10,2,NA,5,10,2,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,24,4.8,NA,5,25,5,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,0,5,NA,z,0,5,NA,z,2021,Q1,NHS Borders
2021Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,14,2.8,NA,5,14,2.8,NA,2021,Q2,NHS Borders
2021Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,0,0,NA,z,0,6,NA,z,2021,Q3,NHS Borders
2021Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,14,1.4,NA,10,14,1.4,NA,2021,Q4,NHS Borders
2022Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,6,1.2,NA,5,10,2,NA,2022,Q1,NHS Borders
2022Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,24,4.8,NA,10,32,3.2,NA,2022,Q2,NHS Borders
2022Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,18,1.8,NA,10,18,1.8,NA,2022,Q3,NHS Borders
2022Q4,p,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,13,1.3,NA,10,42,4.2,NA,2022,Q4,NHS Borders
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,47,53,1.127659574,NA,50,90,1.8,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,30,34,1.133333333,NA,30,73,2.433333333,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,57,119,2.087719298,NA,59,256,4.338983051,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,54,84,1.555555556,NA,55,102,1.854545455,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,43,111,2.581395349,NA,45,151,3.355555556,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,47,63,1.340425532,NA,50,85,1.7,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,51,96,1.882352941,NA,50,106,2.12,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,53,79,1.490566038,NA,54,131,2.425925926,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,58,94,1.620689655,NA,55,115,2.090909091,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,45,1.285714286,NA,36,100,2.777777778,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,10,20,2,NA,10,24,2.4,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,17,1.545454545,NA,10,20,2,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,33,71,2.151515152,NA,34,84,2.470588235,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,14,1.272727273,NA,10,16,1.6,NA,2021,Q1,NHS Borders
2021Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,22,33,1.5,NA,25,69,2.76,NA,2021,Q2,NHS Borders
2021Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,51,1.457142857,NA,34,134,3.941176471,NA,2021,Q3,NHS Borders
2021Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,106,3.028571429,NA,37,162,4.378378378,NA,2021,Q4,NHS Borders
2022Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,18,1.636363636,NA,10,22,2.2,NA,2022,Q1,NHS Borders
2022Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,20,44,2.2,NA,20,54,2.7,NA,2022,Q2,NHS Borders
2022Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,17,26,1.529411765,NA,15,32,2.133333333,NA,2022,Q3,NHS Borders
2022Q4,p,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,24,60,2.5,NA,25,170,6.8,NA,2022,Q4,NHS Borders
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,113,225,1.991150442,NA,115,277,2.408695652,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,72,121,1.680555556,NA,70,168,2.4,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,124,272,2.193548387,NA,125,411,3.288,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,138,260,1.884057971,NA,140,374,2.671428571,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,136,285,2.095588235,NA,140,410,2.928571429,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,105,138,1.314285714,NA,105,228,2.171428571,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,132,211,1.598484848,NA,135,257,1.903703704,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,143,242,1.692307692,NA,145,321,2.213793103,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,128,231,1.8046875,NA,130,297,2.284615385,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,77,99,1.285714286,NA,80,169,2.1125,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,30,60,2,NA,30,71,2.366666667,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,35,48,1.371428571,NA,35,97,2.771428571,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,69,125,1.811594203,NA,70,158,2.257142857,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,34,53,1.558823529,NA,32,101,3.15625,NA,2021,Q1,NHS Borders
