Quarter,QuarterQF,HB,HBQF,Location,LocationQF,AdmissionType,AdmissionTypeQF,SIMD,SIMDQF,Episodes,LengthOfEpisode,AverageLengthOfEpisode,AverageLengthOfEpisodeQF,Stays,LengthOfStay,AverageLengthOfStay,AverageLengthOfStayQF,Year,Quarter_single,HBName
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,140,403,2.878571429,NA,149,502,3,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,4,NA,162,420,2.592592593,NA,178,595,3,NA,2022,Q4,NHS Ayrshire and Arran
2017Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,159,535,3.364779874,NA,170,690,4,NA,2017,Q4,NHS Ayrshire and Arran
2018Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,155,377,2.432258065,NA,166,556,3,NA,2018,Q1,NHS Ayrshire and Arran
2018Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,149,450,3.020134228,NA,159,787,4,NA,2018,Q2,NHS Ayrshire and Arran
2018Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,159,442,2.779874214,NA,166,569,3,NA,2018,Q3,NHS Ayrshire and Arran
2018Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,164,391,2.384146341,NA,176,1213,6,NA,2018,Q4,NHS Ayrshire and Arran
2019Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,205,518,2.526829268,NA,214,684,3,NA,2019,Q1,NHS Ayrshire and Arran
2019Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,199,566,2.844221106,NA,201,737,3,NA,2019,Q2,NHS Ayrshire and Arran
2019Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,142,374,2.633802817,NA,148,452,3,NA,2019,Q3,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,169,534,3.159763314,NA,175,693,3,NA,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,151,362,2.397350993,NA,158,495,3,NA,2020,Q1,NHS Ayrshire and Arran
2020Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,42,91,2.166666667,NA,46,128,2,NA,2020,Q2,NHS Ayrshire and Arran
2020Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,90,177,1.966666667,NA,91,201,2,NA,2020,Q3,NHS Ayrshire and Arran
2020Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,89,187,2.101123596,NA,96,304,3,NA,2020,Q4,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,32,116,3.625,NA,32,139,4,NA,2021,Q1,NHS Ayrshire and Arran
2021Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,97,341,3.515463918,NA,103,393,3,NA,2021,Q2,NHS Ayrshire and Arran
2021Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,70,170,2.428571429,NA,79,333,4,NA,2021,Q3,NHS Ayrshire and Arran
2021Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,96,285,2.96875,NA,103,502,4,NA,2021,Q4,NHS Ayrshire and Arran
2022Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,72,210,2.916666667,NA,73,258,3,NA,2022,Q1,NHS Ayrshire and Arran
2022Q2,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,90,222,2.466666667,NA,93,279,3,NA,2022,Q2,NHS Ayrshire and Arran
2022Q3,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,118,297,2.516949153,NA,124,443,3,NA,2022,Q3,NHS Ayrshire and Arran
2022Q4,p,S08000015,NA,S08000015,d,Elective Inpatients,NA,5,NA,99,286,2.888888889,NA,107,347,3,NA,2022,Q4,NHS Ayrshire and Arran
2019Q4,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,NA,:,0,0,NA,z,0,0,NA,z,2019,Q4,NHS Ayrshire and Arran
2020Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,NA,:,0,0,NA,z,0,0,NA,z,2020,Q1,NHS Ayrshire and Arran
2021Q1,NA,S08000015,NA,S08000015,d,Elective Inpatients,NA,NA,:,0,0,NA,z,0,0,NA,z,2021,Q1,NHS Ayrshire and Arran
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,26,39,1.5,NA,25,111,4,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,11,14,1.272727273,NA,10,19,1,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,25,30,1.2,NA,23,35,1,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,18,21,1.166666667,NA,19,59,3,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,12,34,2.833333333,NA,12,57,4,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,17,14,0.823529412,NA,20,37,1,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,26,53,2.038461538,NA,25,77,3,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,22,36,1.636363636,NA,25,84,3,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,15,24,1.6,NA,15,24,1,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,12,10,0.833333333,NA,13,34,2,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,5,1,NA,5,5,1,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,10,2,NA,5,10,2,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,24,4.8,NA,5,25,5,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,0,5,NA,z,0,5,NA,z,2021,Q1,NHS Borders
2021Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,14,2.8,NA,5,14,2,NA,2021,Q2,NHS Borders
2021Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,0,0,NA,z,0,6,NA,z,2021,Q3,NHS Borders
2021Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,14,1.4,NA,10,14,1,NA,2021,Q4,NHS Borders
2022Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,6,1.2,NA,5,10,2,NA,2022,Q1,NHS Borders
2022Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,5,24,4.8,NA,10,32,3,NA,2022,Q2,NHS Borders
2022Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,18,1.8,NA,10,18,1,NA,2022,Q3,NHS Borders
2022Q4,p,S08000016,NA,S08000016,d,Elective Inpatients,NA,1,NA,10,13,1.3,NA,10,42,4,NA,2022,Q4,NHS Borders
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,47,53,1.127659574,NA,50,90,1,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,30,34,1.133333333,NA,30,73,2,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,57,119,2.087719298,NA,59,256,4,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,54,84,1.555555556,NA,55,102,1,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,43,111,2.581395349,NA,45,151,3,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,47,63,1.340425532,NA,50,85,1,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,51,96,1.882352941,NA,50,106,2,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,53,79,1.490566038,NA,54,131,2,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,58,94,1.620689655,NA,55,115,2,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,45,1.285714286,NA,36,100,2,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,10,20,2,NA,10,24,2,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,17,1.545454545,NA,10,20,2,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,33,71,2.151515152,NA,34,84,2,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,14,1.272727273,NA,10,16,1,NA,2021,Q1,NHS Borders
2021Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,22,33,1.5,NA,25,69,2,NA,2021,Q2,NHS Borders
2021Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,51,1.457142857,NA,34,134,3,NA,2021,Q3,NHS Borders
2021Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,35,106,3.028571429,NA,37,162,4,NA,2021,Q4,NHS Borders
2022Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,11,18,1.636363636,NA,10,22,2,NA,2022,Q1,NHS Borders
2022Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,20,44,2.2,NA,20,54,2,NA,2022,Q2,NHS Borders
2022Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,17,26,1.529411765,NA,15,32,2,NA,2022,Q3,NHS Borders
2022Q4,p,S08000016,NA,S08000016,d,Elective Inpatients,NA,2,NA,24,60,2.5,NA,25,170,6,NA,2022,Q4,NHS Borders
2017Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,113,225,1.991150442,NA,115,277,2,NA,2017,Q4,NHS Borders
2018Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,72,121,1.680555556,NA,70,168,2,NA,2018,Q1,NHS Borders
2018Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,124,272,2.193548387,NA,125,411,3,NA,2018,Q2,NHS Borders
2018Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,138,260,1.884057971,NA,140,374,2,NA,2018,Q3,NHS Borders
2018Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,136,285,2.095588235,NA,140,410,2,NA,2018,Q4,NHS Borders
2019Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,105,138,1.314285714,NA,105,228,2,NA,2019,Q1,NHS Borders
2019Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,132,211,1.598484848,NA,135,257,1,NA,2019,Q2,NHS Borders
2019Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,143,242,1.692307692,NA,145,321,2,NA,2019,Q3,NHS Borders
2019Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,128,231,1.8046875,NA,130,297,2,NA,2019,Q4,NHS Borders
2020Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,77,99,1.285714286,NA,80,169,2,NA,2020,Q1,NHS Borders
2020Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,30,60,2,NA,30,71,2,NA,2020,Q2,NHS Borders
2020Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,35,48,1.371428571,NA,35,97,2,NA,2020,Q3,NHS Borders
2020Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,69,125,1.811594203,NA,70,158,2,NA,2020,Q4,NHS Borders
2021Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,34,53,1.558823529,NA,32,101,3,NA,2021,Q1,NHS Borders
2021Q2,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,74,133,1.797297297,NA,75,233,3,NA,2021,Q2,NHS Borders
2021Q3,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,52,99,1.903846154,NA,50,141,2,NA,2021,Q3,NHS Borders
2021Q4,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,65,143,2.2,NA,65,219,3,NA,2021,Q4,NHS Borders
2022Q1,NA,S08000016,NA,S08000016,d,Elective Inpatients,NA,3,NA,36,55,1.527777778,NA,36,103,2,NA,2022,Q1,NHS Borders
